rank,name,family,power,expected_multiplicity,centre_exact,centre_float,radius_fraction_exact,radius_exact,radius_float,zero_outside_enclosed_region,count_method,moat_method,certificate_route,count_reference_matrix,schur_diagonal_algebraic_count,schur_diagonal_membership_certified,minimum_schur_diagonal_boundary_distance_lower,triangular_inverse_bound_upper,Q_condition_upper,surrogate_resolvent_bound_upper,surrogate_moat_lower,eta_schur_upper,A_N_circ_moat_lower,eta_A_upper,mathematical_finite_matrix_moat_lower,distance_to_zero_lower,lifted_finite_section_moat_lower,epsilon_upper,certified_small_gain_product_upper,finite_count_matches_expected,A_N_circ_count_transport_certified,mathematical_finite_count_transport_certified,finite_count_certified,certified_small_gain_pass,finite_to_exact_rank_transfer_certified,complete_circle_covered,sampled_values_used_in_theorem_gate,laurent_used_for_count,laurent_used_for_moat,theorem_certified,status,laurent_sample_count,minimum_laurent_mode,maximum_laurent_mode,coefficient_sha256,maximum_sample_inverse_residual_diagnostic,coefficient_frobenius_sum_upper,exact_dyadic_residual_sum_upper,neumann_margin_lower,triangular_laurent_moat_lower,schur_homotopy_product_upper,candidate_coefficients_validated_exact_dyadic,laurent_reference_matrix,inverse_sampling_seconds,elapsed_seconds
1,alpha^1,alpha,1,1,13/20,0.65,1/5,91/2000,0.0455,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.04549999999999968,35.59156040658871,1.0000000000000844,35.591560406591704,0.028096548411369902,1.8946275047218605e-15,0.028096548411368008,3.38762223735399e-154,0.028096548411368008,0.6044999999999999,0.028096548411368008,3.3264433839017435e-20,1.1839331063725419e-18,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,
2,alpha^2,alpha,2,1,169/400,0.4225,1/5,49/2000,0.0245,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.024499999999999567,236.55160777600233,1.0000000000000844,236.55160777602225,0.004227407327312884,1.8946275047218605e-15,0.00422740732731099,3.38762223735399e-154,0.00422740732731099,0.39799999999999996,0.00422740732731099,3.3264433839017435e-20,7.86875530638222e-18,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,
3,mu^1,mu,1,2,3/10,0.3,1/5,203/40000,0.005075,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,2,True,0.005074999999999711,10517.450402020908,1.0000000000000844,10517.450402021792,9.50800775640233e-05,1.8946275047218605e-15,9.508007756212867e-05,3.38762223735399e-154,9.508007756212867e-05,0.29492499999999994,9.508007756212867e-05,3.3264433839017435e-20,3.4985703306017266e-16,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,
4,alpha^3,alpha,3,1,2197/8000,0.274625,1/5,203/40000,0.005075,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.005074999999999436,13705.776021131443,1.0000000000000844,13705.776021132597,7.296193943765933e-05,1.8946275047218605e-15,7.29619394357647e-05,3.38762223735399e-154,7.29619394357647e-05,0.26954999999999996,7.29619394357647e-05,3.3264433839017435e-20,4.559148796791958e-16,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,
5,alpha^4,alpha,4,1,28561/160000,0.17850625,1/5,199927/16000000,0.0124954375,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.01249543749999891,5197.692028856679,1.0000000000000844,5197.692028857116,0.00019239308417045306,1.8946275047218605e-15,0.00019239308416855842,3.38762223735399e-154,0.00019239308416855842,0.16601081249999997,0.00019239308416855842,3.3264433839017435e-20,1.7289828261120846e-16,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,
6,alpha^5,alpha,5,1,371293/3200000,0.1160290625,1/5,83293/16000000,0.0052058125,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.005205812499998748,69677.93987548044,1.0000000000000844,69677.9398754863,1.4351744638073238e-05,1.8946275047218605e-15,1.435174463617861e-05,3.38762223735399e-154,1.435174463617861e-05,0.11082324999999998,1.435174463617861e-05,3.3264433839017435e-20,2.31779722133313e-15,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,
7,mu^2,mu,2,2,9/100,0.09,1/5,933191/320000000,0.002916221875,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,2,True,0.002916221874995944,584817.8426134742,1.0000000000000844,584817.8426135235,1.7099341489497773e-06,1.8946275047218605e-15,1.70993414705515e-06,3.38762223735399e-154,1.70993414705515e-06,0.08708377812499998,1.70993414705515e-06,3.3264433839017435e-20,1.9453634455049318e-14,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,
8,alpha^6,alpha,6,1,4826809/64000000,0.075418890625,1/5,933191/320000000,0.002916221875,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.002916221874996712,711722.522082749,1.0000000000000844,711722.522082809,1.4050419495979501e-06,1.8946275047218605e-15,1.4050419477033225e-06,3.38762223735399e-154,1.4050419477033225e-06,0.07250266874999999,1.4050419477033225e-06,3.3264433839017435e-20,2.3675046779486816e-14,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,
9,alpha^7,alpha,7,1,62748517/1280000000,0.04902227890625,1/5,439239619/128000000000,0.0034315595234375,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.00343155952343507,804076.931890638,1.0000000000000844,804076.9318907056,1.2436620929400388e-06,1.8946275047218605e-15,1.2436620910454112e-06,3.38762223735399e-154,1.2436620910454112e-06,0.04559071938281249,1.2436620910454112e-06,3.3264433839017435e-20,2.6747163943105836e-14,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,
10,alpha^8,alpha,8,1,815730721/25600000000,0.0318644812890625,1/5,124530721/128000000000,0.0009728962578125,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.0009728962577826588,23634246.343367185,1.0000000000000844,23634246.343369175,4.2311482476383687e-08,1.8946275047218605e-15,4.231148058175618e-08,3.38762223735399e-154,4.231148058175618e-08,0.030891585031249995,4.231148058175618e-08,3.3264433839017435e-20,7.861798590276786e-13,True,True,True,True,True,True,True,False,False,False,True,theorem_certified,,,,,,,,,,,,,,
